,total,white,blk_af_am,am_indian_alas_nat,asian,nat_haw_pac_island,other,two_or_more,GEO_ID,County,perc_white,perc_blk_af_am,perc_am_indian_alas_nat,perc_asian,perc_nat_haw_pac_island,perc_other,perc_two_or_more,fips
369,149013,123678,7320,434,7793,6,3354,6428,0500000US27139,"Scott County, Minnesota",0.8299812768013529,0.04912323085905257,0.002912497567326341,0.052297450558005006,4.026494332709227e-05,0.022508103319844576,0.04313717595109152,27139
370,97238,88982,3087,615,833,0,1432,2289,0500000US27141,"Sherburne County, Minnesota",0.915094921738415,0.03174684794010572,0.006324687879224172,0.008566609761615829,0.0,0.014726752915526851,0.023540179765112405,27141
371,161075,139161,11539,323,2837,0,1928,5287,0500000US27145,"Stearns County, Minnesota",0.8639515753530964,0.07163743597702933,0.0020052770448548813,0.0176129132391743,0.0,0.011969579388483627,0.03282321899736148,27145
372,262440,220422,11888,475,17099,80,2887,9589,0500000US27163,"Washington County, Minnesota",0.8398948331047097,0.04529797286998933,0.001809937509525987,0.06515393994817863,0.00030483158055174517,0.011000609663161104,0.036537875323883556,27163
373,138377,128720,2281,454,1497,0,2441,2984,0500000US27171,"Wright County, Minnesota",0.9302123907874864,0.016483953258128157,0.0032808920557607117,0.010818271822629483,0.0,0.017640214775576864,0.021564277300418423,27171
374,184945,119740,55988,275,3175,0,2464,3303,0500000US28033,"DeSoto County, Mississippi",0.647435724134202,0.30272783800589365,0.001486928546324583,0.017167265943929276,0.0,0.013322879775068264,0.017859363594582175,28033
376,208080,139587,52737,244,4901,0,895,9716,0500000US28047,"Harrison County, Mississippi",0.6708333333333333,0.2534457900807382,0.0011726259131103422,0.023553440984236833,0.0,0.004301230296039985,0.04669357939254133,28047
377,231840,58183,168989,1038,1824,0,290,1516,0500000US28049,"Hinds County, Mississippi",0.2509618702553485,0.7289035541752933,0.004477225672877847,0.007867494824016562,0.0,0.0012508626639061422,0.006538992408557626,28049
378,143617,103118,29785,1078,3541,0,2479,3616,0500000US28059,"Jackson County, Mississippi",0.7180069211862106,0.2073918825765752,0.007506075186085212,0.024655855504571184,0.0,0.017261187742398185,0.025178077804159673,28059
380,74125,39933,32775,31,442,0,294,650,0500000US28075,"Lauderdale County, Mississippi",0.538725126475548,0.4421585160202361,0.000418212478920742,0.005962900505902192,0.0,0.003966273187183811,0.008768971332209106,28075
382,106272,61087,40228,0,2979,0,759,1219,0500000US28089,"Madison County, Mississippi",0.5748174495633845,0.3785380909364649,0.0,0.028031842818428184,0.0,0.0071420505871725385,0.011470566094549835,28089
383,155271,115982,33741,181,1933,0,1642,1792,0500000US28121,"Rankin County, Mississippi",0.746964983802513,0.2173039395637305,0.0011657038339419467,0.012449201718286094,0.0,0.010575059090235782,0.011541111991292643,28121
384,180463,146438,14589,592,8794,94,867,9089,0500000US29019,"Boone County, Missouri",0.8114571962119659,0.08084205626638147,0.0032804508403384627,0.04873021062489264,0.0005208823969456343,0.004804308916509201,0.0503648947429667,29019
385,87364,75365,4578,673,1141,1462,810,3335,0500000US29021,"Buchanan County, Missouri",0.8626550982097889,0.052401446820200544,0.007703401858889245,0.013060299436838972,0.016734581749919875,0.009271553500297606,0.03817361842406483,29021
386,78871,68942,6205,0,1286,71,530,1837,0500000US29031,"Cape Girardeau County, Missouri",0.8741108899341964,0.07867276945899,0.0,0.016305105805682698,0.0009002041307958565,0.006719833652419774,0.02329119701791533,29031
389,249948,208292,14676,927,5037,814,6846,13356,0500000US29047,"Clay County, Missouri",0.8333413349976795,0.05871621297229824,0.003708771424456287,0.020152191655864418,0.0032566773888968907,0.027389697056987853,0.05343511450381679,29047
390,76745,63884,9562,129,1218,0,318,1634,0500000US29051,"Cole County, Missouri",0.8324190501009838,0.12459443611961692,0.0016808912632744805,0.015870740764870675,0.0,0.004143592416444068,0.021291289334810084,29051
391,103967,99703,1035,304,73,0,660,2192,0500000US29071,"Franklin County, Missouri",0.958986986255254,0.009955081900987813,0.002924004732270817,0.0007021458732097685,0.0,0.006348168168745852,0.021083613069531677,29071
392,293086,261617,10275,1308,6657,348,3078,9803,0500000US29077,"Greene County, Missouri",0.8926287847253025,0.03505796933323325,0.004462853906361955,0.02271346976655316,0.0011873648007751992,0.010502036944787537,0.033447520522986426,29077
393,703011,472083,161954,2283,13066,2485,28513,22627,0500000US29095,"Jackson County, Missouri",0.6715158084297401,0.23037192874649187,0.0032474598548244624,0.01858576892822445,0.0035347953303717866,0.0405583980904993,0.032185840619848055,29095
394,121328,110265,1887,1262,1743,58,997,5116,0500000US29097,"Jasper County, Missouri",0.908817420545958,0.015552881445338257,0.010401556112356587,0.014366016088619279,0.0004780429909006989,0.008217394171172359,0.04216668864565475,29097
395,225081,216303,3276,506,2524,74,119,2279,0500000US29099,"Jefferson County, Missouri",0.9610007064123582,0.014554760286296932,0.0022480795802400024,0.01121374083107859,0.0003287705314975498,0.000528698557408222,0.010125243801120485,29099
396,104418,88482,8266,141,2381,548,297,4303,0500000US29165,"Platte County, Missouri",0.8473826351778428,0.07916259648719569,0.0013503418950755618,0.022802581930318526,0.0052481372943362255,0.002844337183244268,0.041209370031986825,29165
397,402022,357573,19836,904,10968,137,2940,9664,0500000US29183,"St. Charles County, Missouri",0.8894363990030396,0.049340583351159886,0.0022486331593793373,0.027282089039903288,0.00034077737039266506,0.007313032620105368,0.02403848545601982,29183
399,994205,665587,242125,1790,45301,1640,12581,25181,0500000US29189,"St. Louis County, Missouri",0.6694665587077112,0.24353629281687378,0.0018004335122032177,0.04556504946163015,0.0016495591955381435,0.012654331853088648,0.025327774452954872,29189
400,300576,140701,135967,1123,10331,0,3785,8669,0500000US29510,"St. Louis city, Missouri",0.4681045725540296,0.45235481209411266,0.003736159906313212,0.03437067497072288,0.0,0.012592489087618439,0.028841291387203236,29510
401,81366,71320,776,4149,295,9,942,3875,0500000US30013,"Cascade County, Montana",0.8765331956837008,0.009537153110635892,0.05099181476292309,0.0036255929995329746,0.00011061131185015855,0.01157731730698326,0.04762431482437382,30013
402,103806,96995,551,1899,910,0,400,3051,0500000US30029,"Flathead County, Montana",0.9343872223185558,0.005307978344219024,0.01829374024622854,0.008766352619309095,0.0,0.0038533418106853168,0.029391364661002253,30029
